id,state,abbr,percapconsumption,totalconsumption,fiveyrchange,bar&restper100k,b&rrank,beertaxpergal,btaxrank
1,New Hampshire,NH,40.6,41800000,-0.035,213,10,0.3,21
2,Montana,MT,39.4,30800000,0.014,257.5,1,0.14,40
3,North Dakota,ND,38.3,20900000,-0.103,216.2,8,0.39,17
4,South Dakota,SD,38.2,23700000,0.028,204.4,14,0.27,22
5,Wisconsin,WI,34.3,147100000,-0.024,213.8,9,0.06,48
6,Maine,ME,33.8,34900000,0.002,226,6,0.35,18
7,Nebraska,NE,33.3,45300000,-0.017,197.1,18,0.31,20
8,Nevada,NV,32.9,72900000,0.022,196.9,19,0.16,36
9,Vermont,VT,32.8,15600000,-0.058,210.2,11,0.27,23
10,Texas,TX,31.8,626300000,0.013,166.3,41,0.2,31
11,Iowa,IA,31.7,72000000,-0.04,190.5,23,0.19,32
12,South Carolina,SC,30.9,115000000,0.022,177.3,28,0.77,7
13,Mississippi,MS,30.9,66600000,-0.067,149.9,50,0.43,12
14,Oregon,OR,30,95400000,0.09,236.3,3,0.08,6
15,Louisiana,LA,29.6,99400000,-0.109,169.1,13,0.4,15
16,Wyoming,WY,29.5,12300000,-0.104,209.7,12,0.02,50
17,Alabama,AL,28.9,103700000,-0.023,153.3,48,1.05,3
18,New Mexico,NM,28.8,43800000,-0.091,158.4,44,0.41,14
19,Delaware,DE,28.7,20700000,-0.084,185.3,25,0.26,24
20,Hawaii,HI,28.5,30600000,-0.029,227.8,5,0.93,5
21,Minnesota,MN,28.4,115400000,0.001,170.5,35,0.49,10
22,Colorado,CO,28.3,117600000,0.045,203.5,15,0.08,46
23,Missouri,MO,27.7,125600000,-0.072,170.7,34,0.06,49
24,West Virginia,WV,27.4,37800000,-0.109,165.3,42,0.18,35
25,Illinois,IL,27.4,259400000,-0.039,192.1,22,0.23,28
26,Ohio,OH,27.3,234700000,-0.069,180.6,27,0.18,34
27,Arizona,AZ,26.6,135600000,-0.014,154.3,46,0.16,36
28,Pennsylvania,PA,26.4,254100000,-0.065,186.7,24,0.08,46
29,Florida,FL,26.3,423100000,0.045,169.5,36,0.48,11
30,Alaska,AK,26,14000000,-0.051,196.4,20,1.07,2
31,Idaho,ID,25.9,31500000,0.028,183.3,26,0.15,38
32,Kansas,KS,25.7,53200000,-0.079,173.5,31,0.18,33
33,Michigan,MI,25.3,186700000,-0.038,171.2,33,0.2,29
34,Oklahoma,OK,25.1,70700000,-0.081,167.1,40,0.4,15
35,California,CA,25.1,724900000,0.034,192.2,21,0.2,30
36,North Carolina,NC,25,188000000,-0.011,174.7,30,0.62,8
37,Washington,WA,24.7,135600000,0.091,202.2,16,0.26,25
38,Virginia,VA,24.4,152700000,-0.036,176.3,29,0.26,26
39,Tennessee,TN,24.4,120800000,-0.016,162.4,43,1.29,1
40,Georgia,GA,24,179600000,0.01,167.9,39,1.01,4
41,Arkansas,AR,23.7,52000000,-0.068,153.8,47,0.34,19
42,Massachusetts,MA,23.6,121900000,-0.057,217.7,7,0.11,44
43,Kentucky,KY,23.6,77100000,-0.08,153.3,49,0.85,6
44,Indiana,IN,23.4,112700000,-0.06,172.4,32,0.12,43
45,Rhode Island,RI,23,18400000,-0.1,250.9,2,0.12,41
46,New York,NY,21.9,327500000,-0.029,235.7,4,0.14,39
47,New Jersey,NJ,20.6,138000000,-0.035,200.5,17,0.12,42
48,Maryland,MD,20.2,90100000,-0.096,169.5,37,0.53,9
49,Connecticut,CT,20.2,54200000,-0.081,204.5,13,0.23,27
50,Utah,UT,18.7,38100000,0.028,154.8,45,0.41,13
